datactr1,cofidential and proprietary
churn,this is interesting… please cancel my policy now!!!!!
churn,would you call me ASAP?  My number is 123-555-0101
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like this…. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discount….
churn,"My friend told me, there’s a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
retain,"I am happy with your service, please renew my policy…."
retain,what is this?  Am I happy?
retain,"Auto-renew my policy, please!!"
retain,"John was great, I am renewing my policy…."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,can I open my account?…. My name is Jane Doe and phone # is 555-1234
churn,"I am through, you guys.. "
churn,stop sending me junk mails….
churn,"please cancel my account… won’t come back to your company any more, for god sake!"
churn,please cancel my account!!!
churn,please cancel my acct
churn,I have enough.. cancelling my policy. Cancel mine ASAP
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointed… don’t call me again
churn,if all goes really well… Ooops..
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like this…. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discount….
churn,"My friend told me, there’s a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
churn,Totally unhappy.. please cancel my account
churn,"I am through, you guys.. close my account"
churn,Cancel my account. My policy number is 88999992
churn,please cancel my account… won’t come back to your company any more
churn,please cancel my account!!!
churn,what am I going to do?  
churn,I have enough.. cancelling my policy
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointed… don’t call me again
churn,stop sending me junk mails….
churn,I am cancelling my policy….
churn,I am not renewing my policy
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, please cancel my account"
churn,stop sending me junk mails….
churn,Too expensive!  please cancel
churn,"My friend told me, there’s a better deal out there.. please cancel my policy…."
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like this…. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discount….
churn,"My friend told me, there’s a better deal out there.. "
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
churn,what number should I call to cancel my policy?
retain,I’d love to renew my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,"good, excellent"
retain,Can I renew my account?
retain,"I am happy with your service, please renew my policy…."
retain,Auto-renew my policy….
retain,Please call me at this number…
retain,"John was great, I am renewing my policy…."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my account…. My name is Jane Doe and phone # is 555-1234
retain,I’d love to renew my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls call this number
retain,Can I renew my account?
retain,I’d love to renew my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls renew my policy….
retain,Can I renew my account?
retain,"I am happy with your service, please renew my policy…."
retain,is ther a better deal?
retain,"Auto-renew my policy, please!!"
retain,"John was great, I am renewing my policy…."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my account…. My name is Jane Doe and phone # is 555-1234
retain,I’d love to renew my policy….totally cool
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,what's for dinner?
retain,early renew my policy as Christmas is coming up…
retain,Great service!! Will refer to my friend
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls renew my policy….
retain,Can I renew my account?
retain,I am good for now
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy…. Totally cool
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls renew my policy….
retain,Can I renew my account?
retain,"I am happy with your service, please renew my policy…."
retain,Auto-renew my policy….
retain,"Auto-renew my policy, please!!"
retain,"John was great, I am renewing my policy…."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my account…. My name is Jane Doe and phone # is 555-1234
retain,I love my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,did I see this coming?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls renew my policy….
retain,Can I renew my account?
retain,I’d love to renew my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,what is your mailing address?
retain,early renew my policy as Christmas is coming up…
retain,"Great, I will renew my policy…."
retain,"I love your offer, and will renew my policy…."
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,lovely lovely
retain,Can I renew my account?
retain,"I am happy with your service, please renew my policy…."
retain,Auto-renew my policy….
retain,"Auto-renew my policy, please!!"
retain,"John was great, I am renewing my policy…."
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my account…. My name is Jane Doe and phone # is 555-1234
retain,I’d love to renew my policy….
retain,Happy happy… renew my policy….
retain,Can I renew my policy….what number should I call?
retain,Can I renew my policy with this text?
retain,early renew my policy as Christmas is coming up…
retain,Great service!! Will refer to my friend
retain,lovely service!!!  Indeed
retain,"The service has been outstanding, I’d like to renew my policy…. My ID is 4444432"
retain,renew please!!! renew my policy….
retain,"Oh, this is great I will renew my policy…."
retain,"Your customer service has been outstanding… I’d like to stay with you guys, pls renew my policy…."
retain,pls renew my policy….
retain,Can I renew my account?
churn,please cancel my account.. I am totally disappointed… don’t call me again
churn,please cancel my policy!!!!!
churn,I am cancelling my policy….
churn,I am not renewing my policy
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, please cancel my account"
churn,"FRAUD, for god sake.. please cancel my account"
churn,Too expensive!  please cancel
churn,"My friend told me, there’s a better deal out there.. please cancel my policy…."
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. What is your manager's contact info?
retain,"I am happy with your service, please renew my policy…."
retain,Auto-renew my policy….
retain,"Auto-renew my policy, please!!"
retain,what happened?
retain,Would you renew my policy?  My policy number is 11134BBN
retain,Can I renew my policy for two years?
retain,renew my account…. My name is Jane Doe and phone # is 555-1234
churn,"I am through, you guys.. close my account"
churn,Cancel my account… unhappy…
churn,please cancel my account… won’t come back to your company any more
churn,please cancel my account!!!
churn,please cancel my acct
churn,I have enough.. cancelling my policy
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointed… don’t call me again
churn,please cancel my policy!!!!!
churn,I am cancelling my policy….
churn,I am not renewing my policy
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, what's going on?"
churn,"FRAUD, for god sake.. please cancel my account"
churn,Too expensive!  please cancel
churn,"My friend told me, there’s a better deal out there.. please cancel my policy…."
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. please cancel my account
churn,"I am through, you guys.. close my account"
churn,Cancel my account. My policy number is 88999992
churn,please cancel my account… won’t come back to your company any more
churn,what is happening?
churn,please cancel my acct
churn,I have enough.. cancelling my policy
churn,what number should I call to cancel my policy?
churn,please cancel my account.. I am totally disappointed… don’t call me again
churn,please cancel my policy!!!!!
churn,premium is unaffordable… what is the customer rep number
churn,I am not renewing my policy
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, please cancel my account"
churn,"FRAUD, for god sake.. please cancel my account"
churn,Too expensive!  please cancel
churn,"My friend told me, there’s a better deal out there.. please cancel my policy…."
churn,Can you believe it? Cancel my account
churn,"good for now, but I am not sure"
churn,I am not renewing my policy. This is sucks
churn,there has been a fraud on my account. please cancel my account ASAP
churn,"OMG, I don't like this…. I am done w/ my account"
churn,"FRAUD, for god sake.. What is going on?"
churn,Too expensive!  There should be some discount….
churn,I am shopping around… should be a better deal than this
churn,Can you believe it? Cancel my account
churn,Totally unhappy.. How can I close my policy?
retain,"John was great, I am renewing my policy…."
